"cleanedTweets","tweet","timestamp","Date","score","sentiment"
"i liked a video","I liked a @YouTube video https://t.co/z77tXije3d Huge Clothing &amp; Accessories haul | Zara Koovs Forever21 Jabong | Perkymegs",2017-08-29 09:38:35,2017-08-29,1,"positive"
"feeling playful snag this koovs collection for an exceptional style score 
shop it here","Feeling playful? Snag this KOOVS collection #backpack for an exceptional style score 🐼
Shop it here:… https://t.co/vuPaRKRnz7",2017-08-29 06:09:19,2017-08-29,1,"positive"
"design in london up to from us","#Koovs Design in London up to 10% #Cashback from us @InOffersMonkey https://t.co/dmhPSY8fQy https://t.co/4lMUcXMWtw",2017-08-28 15:25:01,2017-08-28,1,"positive"
"koovs any items ₹ grab the offer now gt gt","#HotDeal 🔥
Koovs - Any 2 Items ₹799. Grab the offer now &gt;&gt; https://t.co/RKeVl1FqZC https://t.co/ScEOhL8I5L",2017-08-28 13:40:02,2017-08-28,0,"neutral"
"best selling unisex footwear  koovs","Best Selling Unisex Footwear @ Koovs https://t.co/ls4KVH5gI8",2017-08-28 11:41:26,2017-08-28,1,"positive"
"buy two men s footwear for rs koovs","Buy Two Men's Footwear For Rs.799 - Koovs https://t.co/aT8RV5CSgn",2017-08-28 11:20:04,2017-08-28,0,"neutral"
"koovs steal buy any products at rs only","Koovs Steal – Buy any 2 products at Rs 799 only https://t.co/3ZOFHFzpnp",2017-08-28 11:15:58,2017-08-28,-1,"negative"
"find a huge collection of dresses at","Find a huge collection of dresses at #koovs.
https://t.co/GINGAkol3W
#Coupontopay #Deals #Savings #Fashion https://t.co/715cSN0yhN",2017-08-28 09:53:47,2017-08-28,1,"positive"
"big bang sale buy any clothing footwear at just rs free shipping","@Koovs Big Bang Sale : Buy Any 2 Clothing/Footwear at Just Rs. 799 + FREE Shipping @ https://t.co/17YOu7K191… https://t.co/YQ1ijPWe25",2017-08-28 09:53:12,2017-08-28,1,"positive"
"thank you so much for resolving the matter koovs please do take notice t","@mykoovs @jagograhakjago Thank you so much for resolving the matter koovs, @jagograhakjago please do take notice. T… https://t.co/TAgJDGKyRp",2017-08-28 07:27:49,2017-08-28,1,"positive"
"awaiting for the results 
gave my bestest ever 
wish to win koovs voucher","@RedChilliesEnt 
Awaiting for the Results 😍
Gave My Bestest EVER 
Wish To Win koovs voucher
#JHMSWithFriends https://t.co/DuK1y6rdBq",2017-08-27 17:00:40,2017-08-27,1,"positive"
"beauty is in you ️","#insta Beauty is in you ❤️ 
#black #pink #blue #hot #fashionblogger #boldlips #koovs #green #fashionable… https://t.co/eR7UxIQYkj",2017-08-26 15:29:59,2017-08-26,3,"positive"
"women tops upto off from popular brands at along with on your shopping via zingoy visit gt gt","Women Tops Upto 70% Off from popular brands at #Koovs along with #Cashback on your shopping via Zingoy visit &gt;&gt;… https://t.co/fDDJ8ax8gK",2017-08-26 14:45:06,2017-08-26,3,"positive"
"did someone say free shipping 
 this cute koovs jumpsuit from styledrug s for just ₹","Did someone say FREE shipping?
#steal this cute Koovs jumpsuit from @the.styledrug 's #closet for just ₹900/-
https://t.co/B4xxReofuh",2017-08-26 05:27:16,2017-08-25,2,"positive"
"koovs increases its average cart value by of after implementing do users need more reasons","Koovs increases its average cart value by of 25% after implementing #webpush. Do #Shopify users need more reasons? https://t.co/L33xMkyeB0",2017-08-25 19:00:12,2017-08-25,0,"neutral"
"i added a video to a playlist","I added a video to a @YouTube playlist https://t.co/5I4gmbwxQK Huge Clothing &amp; Accessories haul | Zara Koovs Forever21 Jabong |",2017-08-25 12:07:55,2017-08-25,0,"neutral"
"huge clothing amp accessories haul zara koovs forever jabong perkymegs","Huge Clothing &amp; Accessories haul | Zara Koovs Forever21 Jabong | Perkymegs: https://t.co/5I4gmbwxQK via @YouTube",2017-08-25 12:07:44,2017-08-25,0,"neutral"
"new supper cool shoes you guys have some amazing stuff ️","New supper cool shoes 😍 @mykoovs you guys have some amazing stuff ❤️#shoes #balck #white #sexy #cool #koovs https://t.co/jrwo4i7JRK",2017-08-25 09:39:19,2017-08-25,4,"positive"
"koovs collaborates with brazilian designer daniella helayel","#Luxury Koovs Collaborates with Brazilian Designer Daniella Helayel https://t.co/UOmMzzfxkg https://t.co/yXyYGc3mHm",2017-08-24 18:20:27,2017-08-24,1,"positive"
"i ve seen her somewhere is she the one from that koovs ad","@Twitahisharam I've seen her somewhere. Is she the one from that koovs ad?",2017-08-24 14:03:24,2017-08-24,0,"neutral"
"up to off on first purchase up to from us","#Koovs Up to 30% Off on first purchase + Up to 10% #Cashback from us @InOffersMonkey https://t.co/oKPtSJoPDj https://t.co/s9Yazfq86b",2017-08-24 13:56:43,2017-08-24,1,"positive"
"anyone who likes ytra for the indian opportunity check koovs top management and stronger moat than otas","Anyone who likes $ytra For the indian opportunity check Koovs . Top management and stronger moat than otas.",2017-08-24 13:56:24,2017-08-24,3,"positive"
"hey guys i did a little shopping at koovs here is what i got do check it out","Hey, Guys, I did a little shopping at Koovs here is what I got! Do check it out. https://t.co/q0Tbdrbk2P",2017-08-24 10:43:20,2017-08-24,0,"neutral"
"co branded association between koovs and jab harry met sejal","Co-Branded Association Between Koovs and Jab Harry Met Sejal: https://t.co/7612nbjPw8 via @YouTube",2017-08-24 05:40:04,2017-08-24,0,"neutral"
"get the best offers on footwears on get up to ₹ klippd cashback frm","Get the best offers on footwears on @mykoovs + Get up to ₹210 klippd cashback frm https://t.co/mnKvrq96Vd… https://t.co/FQ3qxDMKtM",2017-08-24 05:25:44,2017-08-23,2,"positive"
"thankyou love ️ ️ you can check technicolourjewellery on instagram 
ajio and koovs also hav","@aaliznat @BookLuster Thankyou love ♥️♥️ you can check technicolourjewellery on Instagram. 
Ajio and koovs also hav… https://t.co/VcpOUHd1mY",2017-08-24 05:21:04,2017-08-23,1,"positive"
"my cashback of rs koovs still not confirmed even approval date st jul moreover u aren t replying","@paisawapas My cashback of Rs719(Koovs)still not confirmed even approval date(31st Jul).Moreover u aren't replying… https://t.co/qtzjDmKizQ",2017-08-23 18:47:02,2017-08-23,2,"positive"
"good night 
you can shop sejal s wardrobe from","Good Night 🌙
You can shop Sejal's wardrobe from https://t.co/uHLcwiQpK0 @mykoovs #koovsxyou #jhmsxkoovs… https://t.co/XDrTt3w2mt",2017-08-23 17:17:52,2017-08-23,1,"positive"
"great actor king of act creativity romance legends king srk on trav","@SRKFC1 @iamsrk @mayer_doi GREAT ACTOR KING OF ACT CREATIVITY ROMANCE LEGENDS KING SRK #JHMS#KOOVS #INDIANS ON TRAV… https://t.co/VbBWbw3JW0",2017-08-23 14:10:14,2017-08-23,1,"positive"
"it always seems impossible until it s done 
📸","It always seems impossible until it’s done.
📸@simplerohan 
#clothes #mylook #fashionista #todayimwearing… https://t.co/LxG8KJSKDb",2017-08-23 09:24:40,2017-08-23,-1,"negative"
"upto off on men s sunglasses at along with rs via zingoy visit now","Upto 70% Off on Men's Sunglasses at #Koovs along with Rs.271 #Cashback via Zingoy visit now https://t.co/h5wfEgDJEp",2017-08-23 08:45:04,2017-08-23,1,"positive"
"i want these shoes so bad","I WANT THESE SHOES SO BAD: https://t.co/CauFLuMq3K",2017-08-22 16:53:08,2017-08-22,-1,"negative"
"koovs site wide offer flat off on variou","Koovs Site wide Offer: Flat 30% OFF On Variou",2017-08-22 06:04:18,2017-08-22,0,"neutral"
